PID,Name,Position,Height,Weight,Age,Foot,WeakFootUsage,WeakFootAccuracy,Form,InjuryResistance,Nationality,AttStyle,DefStyle,Aptitudes,进攻意识 Off.Aware,控球 Ball Control,盘带 Dribbling,紧密控球 Tight Poss,短传 Low Pass,高传 Lofted Pass,射门 Finishing,头球 Heading,定位球 Set Piece,弧线 Curl,防守意识 Def.Aware,抢断 Tackling,侵略性 Aggression,防守参与 Def.Engage,GK 扑救意识,GK 接球,GK 反应,GK 倒地扑救,GK 控制范围,速度 Speed,加速 Acceleration,踢球力量 Kick Power,弹跳 Jumping,身体对抗 Phys.,平衡 Balance,体力 Stamina,Skills,AIStyles
175960,Riley Thomas,CB,183,77,24,Right,Rarely,Medium,Standard,Medium,United States,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=1|DMF=0|RWF=0|SS=0|LB=0|CMF=0,56,67,62,62,62,65,53,57,55,63,65,67,67,62,40,40,40,40,40,73,69,67,67,62,65,70,Weighted Pass,Long Ball Expert
175961,Teo Rodríguez Pagano,LB,178,76,21,Left,Almost Never,Medium,Standard,Medium,Argentina,Attacking Full-back,Basic,RMF=0|AMF=0|CB=0|CF=0|LMF=1|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,63,68,73,64,66,71,64,51,59,66,62,67,71,64,40,40,40,40,40,75,78,70,64,58,69,72,,Long Ranger|Speeding Bullet
175963,Francisco Scarpeccio,CF,187,80,20,Right,Rarely,Medium,Standard,Medium,Argentina,Target Man,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,71,66,61,60,57,52,69,71,59,54,49,44,49,54,40,40,40,40,40,63,60,71,66,70,56,62,Aerial Superiority|Heading,
175969,Wassim Bouziane,LWF,181,68,20,Right,Rarely,Medium,Standard,Medium,Netherlands,Prolific Winger,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=2|LWF=2|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,64,66,68,65,64,64,63,56,59,64,54,56,62,60,40,40,40,40,40,70,74,66,58,57,66,61,Cut Behind & Turn|Scissors Feint,Incisive Run|Mazing Run|Speeding Bullet|Trickster
175973,Filippo Carbone,AMF,180,69,20,Right,Occasionally,High,Standard,Medium,Italy,Hole Player,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=1|LB=0|CMF=2,63,66,66,64,64,66,62,58,64,64,57,62,67,65,40,40,40,40,40,71,69,67,63,60,64,70,,Long Ball Expert|Long Ranger
175974,Joi Nuredini,CF,188,78,19,Right,Rarely,Medium,Standard,Medium,Albania,Target Man,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,66,63,64,62,60,58,67,67,59,59,54,54,60,58,40,40,40,40,40,67,65,67,64,66,59,62,Heading,
175977,Ilias Ben Sadik,CB,180,71,19,Right,Rarely,Medium,Standard,Medium,Belgium,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,56,60,59,58,60,62,50,62,58,59,64,65,70,67,40,40,40,40,40,65,62,64,66,64,57,61,Heading|Interception,
175979,Gonçalo Oliveira,CB,180,73,20,Left,Rarely,Medium,Standard,Medium,Portugal,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,50,65,58,63,62,63,46,62,55,55,66,68,60,67,40,40,40,40,40,67,65,58,74,65,63,60,,
175980,Hamza Bellari,RWF,175,72,23,Left,Rarely,Medium,Standard,Medium,Morocco,Prolific Winger,Basic,RMF=2|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=2|SS=0|LB=0|CMF=2,63,65,69,65,64,63,61,53,60,58,50,51,53,56,40,40,40,40,40,72,73,68,58,58,63,66,,Incisive Run
175985,Hindolo Mustapha,AMF,186,80,20,Right,Occasionally,High,Standard,Medium,Sierra Leone,Creative Playmaker,Basic,RMF=2|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=1,68,72,67,72,72,73,65,48,59,64,52,50,58,55,40,40,40,40,40,68,73,67,55,70,62,75,Double Touch|Sombrero,Incisive Run|Trickster
175990,Álvaro Ocampo,CB,184,75,22,Left,Rarely,Medium,Standard,Medium,Argentina,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,52,59,56,55,65,66,50,71,52,61,67,66,64,63,40,40,40,40,40,68,66,64,72,70,56,64,,
175991,Liam Mackenzie,CMF,180,75,19,Right,Rarely,Medium,Standard,Medium,Canada,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,62,68,65,68,68,67,60,54,60,62,57,60,65,64,40,40,40,40,40,62,65,64,55,60,66,71,,
175992,Ghianny Kodia,RWF,174,64,19,Right,Almost Never,Medium,Inconsistent,Medium,France,Roaming Flank,Basic,RMF=1|AMF=0|CB=0|CF=2|LMF=1|LWF=1|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=0,55,65,71,65,55,53,59,47,54,62,45,49,58,55,40,40,40,40,40,76,78,62,54,52,73,67,Cut Behind & Turn|Double Touch|Gamesmanship,Incisive Run|Mazing Run|Trickster
175993,Ander Izagirre,CB,180,78,23,Right,Rarely,Medium,Standard,Medium,Spain,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,47,67,58,60,62,63,45,63,55,52,66,68,68,70,40,40,40,40,40,65,62,60,73,68,63,63,,
175994,Sergio Lozano,CB,180,78,20,Right,Rarely,Medium,Standard,Medium,Spain,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,45,63,56,57,62,63,44,67,55,52,65,66,70,65,40,40,40,40,40,63,62,60,68,67,62,65,,
175998,Villum Berthelsen,AMF,182,70,20,Right,Rarely,Medium,Standard,Medium,Denmark,Hole Player,Basic,RMF=0|AMF=2|CB=0|CF=1|LMF=1|LWF=1|RB=0|DMF=1|RWF=0|SS=2|LB=0|CMF=2,65,69,70,72,74,70,63,55,64,64,51,57,63,62,40,40,40,40,40,71,73,65,58,60,65,78,Long-Range Curler|Sole Control|Through Passing,Mazing Run
175999,Prince Amoako,LWF,176,67,19,Right,Rarely,Low,Inconsistent,Medium,Ghana,Prolific Winger,Basic,RMF=0|AMF=0|CB=0|CF=1|LMF=2|LWF=2|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,63,71,76,67,62,64,67,51,55,63,51,51,60,55,40,40,40,40,40,85,83,68,62,56,75,71,Cut Behind & Turn|Gamesmanship|Long-Range Curler|Super-sub,Incisive Run|Speeding Bullet|Trickster
176006,Robinho Júnior,RWF,170,60,19,Left,Rarely,Medium,Standard,Medium,Brazil,Prolific Winger,Basic,RMF=1|AMF=1|CB=0|CF=0|LMF=1|LWF=2|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=0,63,71,76,73,59,60,62,53,59,61,46,47,52,51,40,40,40,40,40,73,77,61,56,51,69,63,Chop Turn|Cut Behind & Turn|Double Touch|Scissors Feint|Sole Control,Mazing Run|Trickster
176014,Stas Korzeniowski,CF,193,88,23,Right,Occasionally,High,Unwavering,Medium,United States,Target Man,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,65,67,67,72,59,60,67,67,57,60,50,52,62,52,40,40,40,40,40,65,62,65,62,72,60,72,Aerial Superiority|Heading|Penalty Specialist,
176015,Renato González,GK,175,72,17,Right,Rarely,Medium,Standard,Medium,Chile,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,42,52,48,45,52,57,40,45,45,44,47,49,53,60,63,61,67,60,69,53,59,66,69,64,51,54,,
176017,Javier Rojas,LB,169,60,21,Left,Rarely,Medium,Standard,Medium,Chile,Attacking Full-back,Basic,RMF=0|AMF=0|CB=0|CF=0|LMF=2|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,61,62,67,61,62,70,51,57,56,68,58,60,61,57,40,40,40,40,40,73,77,59,61,54,64,68,,
176022,Andy Batioja,LWF,179,70,20,Right,Rarely,Medium,Standard,Medium,Colombia,Prolific Winger,Basic,RMF=2|AMF=0|CB=0|CF=0|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=0|LB=0|CMF=0,62,68,67,63,62,65,60,48,62,70,52,52,57,56,40,40,40,40,40,71,75,65,67,61,65,68,Long-Range Curler|Scissors Feint,Incisive Run|Speeding Bullet
176023,Sebastián Mosquera,LWF,175,72,20,Right,Rarely,Medium,Standard,Medium,Colombia,Prolific Winger,Basic,RMF=0|AMF=0|CB=0|CF=0|LMF=1|LWF=2|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,64,65,71,67,58,59,62,57,53,56,49,48,50,54,40,40,40,40,40,74,75,60,61,59,67,65,,
176024,Everton Maceió,LWF,173,65,23,Right,Occasionally,High,Standard,Medium,Brazil,Prolific Winger,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=1|LWF=2|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,64,71,74,70,63,67,69,58,61,62,51,48,56,54,40,40,40,40,40,72,76,68,67,59,73,65,Double Touch|First-time Shot|Outside Curler,Incisive Run|Mazing Run
176029,Timoteo Chamorro,RB,172,65,20,Right,Rarely,Medium,Standard,Medium,Argentina,Attacking Full-back,Basic,RMF=1|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=0|CMF=0,61,62,68,63,61,69,53,54,55,67,57,63,67,61,40,40,40,40,40,72,75,63,64,58,67,69,,
176034,Cooper Sanchez,CMF,175,72,18,Right,Rarely,Medium,Standard,Medium,United States,Orchestrator,Basic,RMF=0|AMF=1|CB=0|CF=0|LMF=1|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,62,71,66,68,68,69,57,52,59,64,61,63,68,66,40,40,40,40,40,65,69,65,62,56,68,68,,
176035,Luke Pruter,GK,196,95,25,Right,Rarely,Medium,Standard,Medium,United States,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,41,41,42,45,47,40,40,40,45,41,42,48,60,67,63,70,63,68,52,49,65,55,72,54,47,,
176040,Tadano Kakuma,GK,193,90,19,Right,Rarely,Medium,Standard,Medium,Japan,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,45,41,42,45,50,40,40,52,44,54,45,48,60,61,57,59,64,65,51,45,67,61,73,47,56,,
176042,Tada Aoi,SS,179,71,18,Right,Rarely,Medium,Standard,Medium,Japan,Hole Player,Basic,RMF=0|AMF=1|CB=0|CF=1|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=2|LB=0|CMF=0,61,62,56,60,59,50,63,55,61,52,44,41,53,50,40,40,40,40,40,69,75,67,62,55,65,70,,
176045,Seymour Reid,CF,165,77,18,Right,Rarely,Medium,Standard,Medium,Jamaica,Fox in the Box,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,69,69,66,68,59,57,72,52,54,62,50,50,56,52,40,40,40,40,40,67,73,69,61,63,69,73,Chop Turn,
176047,Manu Duah,CB,193,82,21,Right,Rarely,Medium,Standard,Low,Ghana,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,59,71,67,70,73,73,58,62,56,60,70,71,74,68,40,40,40,40,40,66,69,66,67,74,60,74,Aerial Superiority|Blocker|Heading,
176048,Gonzalo Poblete,CMF,175,72,20,Right,Rarely,Medium,Standard,Medium,Chile,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,60,66,62,65,68,67,58,55,59,62,60,62,66,60,40,40,40,40,40,66,65,59,62,58,61,68,,
176050,Ettore Nicolosi,CB,180,78,20,Right,Rarely,Medium,Standard,Medium,Italy,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=1|DMF=0|RWF=0|SS=0|LB=0|CMF=0,56,60,62,59,66,67,49,64,58,59,66,68,68,67,40,40,40,40,40,65,64,66,66,68,60,64,Acrobatic Clearance|Heading|Interception|Low Lofted Pass,Long Ball Expert
176051,Lorenzo Albarracín,RWF,175,72,19,Left,Rarely,Medium,Standard,Medium,Argentina,Prolific Winger,Basic,RMF=2|AMF=0|CB=0|CF=0|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=0,65,68,73,71,58,63,58,52,53,58,48,47,53,60,40,40,40,40,40,72,74,58,53,53,68,58,,Mazing Run
176053,Alex Teixeira,GK,186,73,19,Right,Rarely,Low,Inconsistent,Medium,France,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,44,42,43,48,51,40,44,42,42,43,44,46,61,63,62,65,62,69,54,51,71,66,64,52,51,GK Long Throw|GK Low Punt,
176065,Matteo Spinaccè,CF,189,75,20,Left,Rarely,Medium,Standard,Medium,Italy,Target Man,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=1|SS=1|LB=0|CMF=0,69,64,64,59,62,61,69,67,62,60,54,50,62,55,40,40,40,40,40,68,66,67,65,69,62,65,First-time Shot|Heading,
176067,Amine Ouahabi,CMF,185,72,18,Right,Rarely,Medium,Standard,Medium,Morocco,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,60,63,64,60,64,62,55,60,63,64,62,61,68,66,40,40,40,40,40,66,67,64,65,60,63,67,Gamesmanship|Interception,Long Ranger
176073,Galo Galarza,DMF,177,72,21,Right,Almost Never,Medium,Standard,Medium,Argentina,Orchestrator,Basic,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,61,70,65,67,70,72,59,52,60,65,64,63,72,69,40,40,40,40,40,63,69,64,58,61,69,66,,Long Ball Expert
176076,Thiago González,CMF,175,72,19,Right,Rarely,Medium,Standard,Medium,Argentina,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,61,65,66,62,66,67,59,57,61,62,61,65,70,69,40,40,40,40,40,68,70,65,67,61,63,71,,
176077,Máximo Desábato,CB,191,83,21,Right,Rarely,Medium,Standard,Medium,Argentina,Extra Frontman,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,59,60,55,57,63,61,43,74,51,50,67,68,63,64,40,40,40,40,40,65,62,67,73,74,51,64,Acrobatic Clearance|Aerial Superiority|Heading,
176079,Tiziano Van Der Tuin,GK,190,72,21,Right,Rarely,Medium,Standard,Medium,Argentina,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,42,51,47,43,53,57,40,48,45,44,46,49,50,60,65,65,62,63,65,54,52,67,63,68,48,54,,
176080,Santiago Daniele,CB,183,72,21,Right,Rarely,Medium,Standard,Medium,Argentina,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,51,59,58,55,62,63,46,66,53,58,73,72,70,75,40,40,40,40,40,69,64,65,68,71,58,72,,
176087,Nakada Yu,CF,190,86,22,Right,Rarely,Medium,Standard,Medium,Japan,Goal Poacher,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,67,61,55,59,56,52,65,69,57,51,48,44,58,53,40,40,40,40,40,71,67,70,66,68,56,63,,
176088,Watanabe Kosei,GK,180,72,18,Right,Rarely,Medium,Standard,Medium,Japan,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,49,44,43,52,55,40,40,51,48,42,44,49,60,59,63,64,65,60,55,53,65,68,64,55,51,,
176094,Ishizuka Rea,CF,182,69,19,Left,Rarely,Medium,Standard,Medium,Japan,Dummy Runner,Basic,RMF=1|AMF=1|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=1|SS=1|LB=0|CMF=0,61,58,63,56,60,54,65,63,56,53,47,50,68,62,40,40,40,40,40,71,64,72,70,68,62,67,,
176095,Kai Yua,CB,179,67,19,Right,Occasionally,High,Standard,Medium,Japan,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,46,54,48,51,55,58,44,63,53,48,65,63,70,66,40,40,40,40,40,63,58,62,67,71,56,63,,
176097,Charlie Tasker,RB,186,70,20,Right,Rarely,Medium,Standard,Medium,England,Defensive Full-back,Basic,RMF=1|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=0|CMF=0,57,68,67,63,68,70,53,49,50,68,67,64,67,68,40,40,40,40,40,70,73,65,65,62,68,74,,
176102,Yoneda Taiyo,CMF,170,67,23,Right,Rarely,Medium,Standard,Medium,Japan,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,53,65,60,67,67,61,57,52,59,56,55,62,68,72,40,40,40,40,40,67,73,65,66,61,70,72,,
176107,Doi Yuji,AMF,168,63,19,Left,Rarely,Medium,Standard,Medium,Japan,Creative Playmaker,Basic,RMF=1|AMF=2|CB=0|CF=0|LMF=2|LWF=1|RB=0|DMF=0|RWF=1|SS=1|LB=0|CMF=1,59,71,63,68,69,61,56,50,62,60,48,51,56,60,40,40,40,40,40,70,65,68,55,52,72,68,,
176109,Boran Başkan,CMF,179,70,20,Right,Rarely,Medium,Inconsistent,Medium,Türkiye,Hole Player,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,58,65,63,67,69,67,61,57,64,63,59,56,63,62,40,40,40,40,40,68,72,66,58,57,61,72,Cut Behind & Turn|Long Range Shooting,Long Ranger|Mazing Run
176111,Jon García,CMF,182,75,23,Right,Rarely,Medium,Standard,Medium,Spain,Hole Player,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,62,70,65,67,68,67,63,55,63,67,57,59,62,65,40,40,40,40,40,66,68,63,60,60,62,70,One-touch Pass,Long Ball Expert
176112,Dani Díaz,RWF,167,60,20,Left,Rarely,Medium,Standard,Medium,Spain,Prolific Winger,Basic,RMF=2|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=2|SS=0|LB=0|CMF=0,65,70,75,70,58,65,63,50,60,60,56,57,58,60,40,40,40,40,40,75,80,66,53,53,72,65,Cut Behind & Turn|Heel Trick|Outside Curler|Sole Control,Mazing Run|Speeding Bullet
176113,Oskar Haugstrup,CMF,182,72,19,Right,Rarely,Medium,Inconsistent,Medium,Denmark,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,53,62,58,63,68,70,56,53,59,53,56,59,64,61,40,40,40,40,40,65,63,61,59,55,54,72,,Long Ranger
176114,Nicklas Pedersen,AMF,173,66,19,Right,Rarely,Medium,Inconsistent,Medium,Denmark,Hole Player,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=1|LWF=1|RB=0|DMF=1|RWF=0|SS=1|LB=0|CMF=2,55,70,65,68,70,62,57,47,63,67,50,50,51,50,40,40,40,40,40,67,71,66,55,53,70,63,Double Touch|Gamesmanship,Mazing Run|Speeding Bullet
176115,Hjalte Boe Rasmussen,RWF,174,64,19,Right,Rarely,Medium,Inconsistent,Medium,Denmark,Prolific Winger,Basic,RMF=2|AMF=0|CB=0|CF=2|LMF=1|LWF=1|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=0,58,66,70,67,60,54,61,49,68,71,44,48,56,52,40,40,40,40,40,69,78,65,58,55,72,61,Acrobatic Finishing|Cut Behind & Turn|Double Touch|Sole Control|Through Passing,Incisive Run|Trickster
176116,Mikkel Øxenberg,DMF,182,70,19,Right,Rarely,Medium,Inconsistent,Medium,Denmark,Anchor Man,Anchor Man,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,52,61,55,57,66,65,53,63,54,50,63,61,64,65,40,40,40,40,40,63,61,66,61,56,58,72,Fighting Spirit,Long Ranger
176119,Bruninho,CMF,177,72,21,Right,Rarely,Medium,Standard,Medium,Brazil,Orchestrator,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,61,70,64,68,70,72,59,54,64,71,62,61,66,62,40,40,40,40,40,64,68,67,57,59,68,65,Low Lofted Pass,Long Ball Expert
176122,Dimas Filho,AMF,176,72,21,Right,Rarely,Medium,Standard,Medium,Brazil,Creative Playmaker,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=1|LB=0|CMF=2,65,70,69,67,69,67,66,52,63,64,50,51,57,53,40,40,40,40,40,66,71,66,54,56,65,63,,
176123,Cássio Acosta,GK,185,80,21,Right,Rarely,Medium,Standard,Medium,Brazil,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,42,53,48,45,52,57,40,45,47,46,48,49,53,60,66,65,64,62,67,57,62,69,73,66,58,53,,
176125,Ignacio Perruzzi,DMF,177,70,21,Right,Rarely,Medium,Standard,Medium,Argentina,Anchor Man,Anchor Man,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,58,69,66,72,73,69,58,63,57,66,69,76,78,74,40,40,40,40,40,73,75,68,62,68,73,80,Gamesmanship|Interception|One-touch Pass|Rising Shot|Sliding Tackle,Long Ball Expert
176127,Thomás de Martis,CF,181,81,18,Right,Rarely,Medium,Standard,Medium,Argentina,Fox in the Box,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,70,65,62,61,58,52,70,71,67,68,48,49,51,51,40,40,40,40,40,67,66,73,66,71,63,62,Chip Shot Control|Long Range Shooting,Long Ranger
176128,Tobías Quiroz,CB,188,75,21,Right,Rarely,Medium,Standard,Medium,Argentina,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,52,57,50,53,58,61,48,68,50,54,71,70,67,65,40,40,40,40,40,62,59,65,69,71,50,62,Interception,
176130,Agustín Obregón,RB,175,77,20,Right,Rarely,Medium,Standard,Medium,Argentina,Attacking Full-back,Basic,RMF=2|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=2|DMF=1|RWF=0|SS=0|LB=0|CMF=2,59,64,68,62,63,68,56,58,58,68,63,68,74,66,40,40,40,40,40,74,72,61,64,62,66,73,,Early Cross
176132,Agustín De la Cuesta,DMF,170,65,20,Left,Rarely,Medium,Standard,Medium,Argentina,Basic,The Destroyer,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,57,62,56,60,66,68,59,57,55,61,67,73,76,71,40,40,40,40,40,67,73,61,62,58,66,72,Fighting Spirit,
176133,Kim Soo-Hyung,CB,183,72,19,Left,Rarely,Medium,Inconsistent,Medium,Korea Republic,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=1|DMF=0|RWF=0|SS=0|LB=0|CMF=0,52,57,55,56,65,63,46,60,48,49,62,63,68,67,40,40,40,40,40,68,65,56,69,61,55,59,Interception|Sole Control,
176134,Kevin Angulo,CF,188,75,18,Left,Rarely,Medium,Standard,Medium,Colombia,Goal Poacher,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,68,62,64,59,54,52,70,68,58,57,48,45,51,53,40,40,40,40,40,69,65,70,68,73,59,63,,
176136,Djé D'Avilla,DMF,191,77,23,Right,Rarely,Medium,Standard,Medium,Côte d'Ivoire,Basic,The Destroyer,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,56,67,66,71,69,69,56,52,50,60,73,72,77,71,40,40,40,40,40,66,70,73,65,70,60,79,Low Lofted Pass|Sole Control,Long Ball Expert
176139,Elias Rojas,CMF,175,72,19,Right,Rarely,Medium,Standard,Medium,Chile,Box-to-Box,Box-to-Box,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=0|CMF=2,62,67,62,64,67,68,59,57,59,62,58,60,64,61,40,40,40,40,40,66,69,68,61,60,65,68,,
176142,Martín Espinoza,CF,190,72,20,Right,Rarely,Medium,Standard,Medium,Chile,Target Man,Basic,RMF=0|AMF=0|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,66,61,58,60,59,54,67,69,57,56,50,45,47,52,40,40,40,40,40,62,60,63,67,70,57,59,,
176145,Diego Vargas,LB,174,67,20,Left,Rarely,Medium,Standard,Medium,Chile,Attacking Full-back,Basic,RMF=0|AMF=0|CB=0|CF=0|LMF=1|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,59,62,66,59,61,67,49,57,59,67,62,61,65,64,40,40,40,40,40,69,74,61,63,57,62,68,,Early Cross
176148,Mateo Cienfuegos,CB,183,72,20,Right,Rarely,Medium,Standard,Medium,Chile,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,54,58,55,54,59,62,46,65,55,58,65,66,68,63,40,40,40,40,40,65,64,61,65,69,59,59,,
